PYTHONPATH=.:packages/harness:packages/dr_core PYTHONIOENCODING=utf-8 PYTHONUTF8=1 uv run pytest tests/ packages/dr_core/tests -v
============================= test session starts ==============================
platform darwin -- Python 3.12.13, pytest-9.0.3, pluggy-1.6.0 -- /Users/ryanfree/Documents/Projects/deerflow-dr/deer-flow/backend/.venv/bin/python
cachedir: .pytest_cache
rootdir: /Users/ryanfree/Documents/Projects/deerflow-dr/deer-flow/backend
configfile: pyproject.toml
plugins: asyncio-1.3.0, langsmith-0.8.18, anyio-4.13.0
asyncio: mode=Mode.STRICT, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 6321 items / 1 skipped

tests/blocking_io/test_agents_router.py::test_create_agent_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_agents_router.py::test_delete_agent_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_artifacts_router.py::test_get_artifact_text_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_artifacts_router.py::test_get_artifact_binary_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_artifacts_router.py::test_get_artifact_skill_archive_member_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_channel_runtime_config_store.py::test_configure_runtime_channel_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_channel_runtime_config_store.py::test_disconnect_runtime_channel_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_channel_runtime_config_store.py::test_runtime_config_store_file_is_owner_only PASSED [  0%]
tests/blocking_io/test_channel_runtime_config_store.py::test_runtime_config_store_overwrites_loose_existing_file PASSED [  0%]
tests/blocking_io/test_channel_runtime_config_store.py::test_runtime_config_store_chmod_failure_is_logged_not_fatal PASSED [  0%]
tests/blocking_io/test_channels_ingest.py::test_ingest_inbound_files_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_dynamic_context_middleware.py::test_abefore_agent_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_dynamic_context_middleware.py::test_abefore_agent_returns_same_result_as_before_agent PASSED [  0%]
tests/blocking_io/test_dynamic_context_middleware.py::test_abefore_agent_returns_none_on_timeout PASSED [  0%]
tests/blocking_io/test_gate_smoke.py::test_gate_catches_unoffloaded_blocking_io_in_deerflow_module PASSED [  0%]
tests/blocking_io/test_gate_smoke.py::test_gate_restores_blockbuster_patches_after_exceptions PASSED [  0%]
tests/blocking_io/test_gate_smoke.py::test_allow_blocking_io_marker_opts_out_of_gate PASSED [  0%]
tests/blocking_io/test_jsonl_run_event_store.py::test_jsonl_run_event_store_async_api_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_persistence_bootstrap.py::test_bootstrap_offloads_alembic_stamp_and_upgrade PASSED [  0%]
tests/blocking_io/test_persistence_engine_sqlite.py::test_init_engine_sqlite_dir_setup_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_skills_install.py::test_install_skill_archive_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_skills_load.py::test_load_skills_via_to_thread_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_sqlite_lifespan.py::test_async_checkpointer_sqlite_setup_does_not_block_event_loop PASSED [  0%]
tests/blocking_io/test_uploads_middleware.py::test_before_agent_uploads_scan_does_not_block_event_loop PASSED [  0%]
tests/test_acp_config.py::test_load_acp_config_sets_agents PASSED        [  0%]
tests/test_acp_config.py::test_load_acp_config_multiple_agents PASSED    [  0%]
tests/test_acp_config.py::test_load_acp_config_empty_clears_agents PASSED [  0%]
tests/test_acp_config.py::test_load_acp_config_none_clears_agents PASSED [  0%]
tests/test_acp_config.py::test_acp_agent_config_defaults PASSED          [  0%]
tests/test_acp_config.py::test_acp_agent_config_env_literal PASSED       [  0%]
tests/test_acp_config.py::test_acp_agent_config_env_default_is_empty PASSED [  0%]
tests/test_acp_config.py::test_load_acp_config_preserves_env PASSED      [  0%]
tests/test_acp_config.py::test_acp_agent_config_with_model PASSED        [  0%]
tests/test_acp_config.py::test_acp_agent_config_auto_approve_permissions PASSED [  0%]
tests/test_acp_config.py::test_acp_agent_config_missing_command_raises PASSED [  0%]
tests/test_acp_config.py::test_acp_agent_config_missing_description_raises PASSED [  0%]
tests/test_acp_config.py::test_get_acp_agents_returns_empty_by_default PASSED [  0%]
tests/test_acp_config.py::test_app_config_reload_without_acp_agents_clears_previous_state PASSED [  0%]
tests/test_additional_channel_connections.py::test_pending_connect_code_extracts_code_when_connections_configured PASSED [  0%]
tests/test_additional_channel_connections.py::test_pending_connect_code_is_none_when_connections_disabled PASSED [  0%]
tests/test_additional_channel_connections.py::test_feishu_connect_command_binds_identity PASSED [  0%]
tests/test_additional_channel_connections.py::test_dingtalk_connect_command_binds_identity PASSED [  0%]
tests/test_additional_channel_connections.py::test_wechat_connect_command_binds_identity PASSED [  0%]
tests/test_additional_channel_connections.py::test_wecom_connect_command_binds_identity PASSED [  0%]
tests/test_additional_channel_connections.py::test_additional_channels_attach_owner_identity PASSED [  0%]
tests/test_aio_sandbox.py::TestExecuteCommandSerialization::test_lock_prevents_concurrent_execution PASSED [  0%]
tests/test_aio_sandbox.py::TestErrorObservationRetry::test_retry_on_error_observation PASSED [  0%]
tests/test_aio_sandbox.py::TestErrorObservationRetry::test_retry_creates_fresh_session_before_targeting_it PASSED [  0%]
tests/test_aio_sandbox.py::TestErrorObservationRetry::test_cleanup_failure_does_not_mask_successful_retry PASSED [  0%]
tests/test_aio_sandbox.py::TestErrorObservationRetry::test_no_retry_on_clean_output PASSED [  0%]
tests/test_aio_sandbox.py::TestBashExecUnsupportedFailFast::test_bash_exec_404_returns_actionable_error PASSED [  0%]
tests/test_aio_sandbox.py::TestBashExecUnsupportedFailFast::test_bash_exec_404_is_cached_and_stops_retry_storm PASSED [  0%]
tests/test_aio_sandbox.py::TestBashExecUnsupportedFailFast::test_bash_exec_non_404_error_is_not_cached PASSED [  0%]
tests/test_aio_sandbox.py::TestBashExecUnsupportedFailFast::test_env_less_path_unaffected_after_404 PASSED [  0%]
tests/test_aio_sandbox.py::TestBashExecUnsupportedFailFast::test_bash_exec_success_does_not_mark_unsupported PASSED [  0%]
tests/test_aio_sandbox.py::TestListDirSerialization::test_list_dir_uses_lock PASSED [  0%]
tests/test_aio_sandbox.py::TestNoChangeTimeout::test_execute_command_passes_no_change_timeout PASSED [  0%]
tests/test_aio_sandbox.py::TestNoChangeTimeout::test_retry_passes_no_change_timeout PASSED [  0%]
tests/test_aio_sandbox.py::TestNoChangeTimeout::test_list_dir_passes_no_change_timeout PASSED [  0%]
tests/test_aio_sandbox.py::TestConcurrentFileWrites::test_append_should_preserve_both_parallel_writes PASSED [  0%]
tests/test_aio_sandbox.py::TestDownloadFile::test_returns_concatenated_bytes PASSED [  0%]
tests/test_aio_sandbox.py::TestDownloadFile::test_returns_empty_bytes_for_empty_file PASSED [  0%]
tests/test_aio_sandbox.py::TestDownloadFile::test_uses_lock_during_download PASSED [  0%]
tests/test_aio_sandbox.py::TestDownloadFile::test_raises_oserror_on_client_error PASSED [  1%]
tests/test_aio_sandbox.py::TestDownloadFile::test_preserves_oserror_from_client PASSED [  1%]
tests/test_aio_sandbox.py::TestDownloadFile::test_rejects_path_outside_virtual_prefix_and_logs_error PASSED [  1%]
tests/test_aio_sandbox.py::TestDownloadFile::test_rejects_path_traversal[/mnt/workspace/../../etc/passwd] PASSED [  1%]
tests/test_aio_sandbox.py::TestDownloadFile::test_rejects_path_traversal[../secret] PASSED [  1%]
tests/test_aio_sandbox.py::TestDownloadFile::test_rejects_path_traversal[/a/b/../../../etc/shadow] PASSED [  1%]
tests/test_aio_sandbox.py::TestDownloadFile::test_single_chunk PASSED    [  1%]
tests/test_aio_sandbox.py::TestClose::test_close_calls_real_nested_httpx_client PASSED [  1%]
tests/test_aio_sandbox.py::TestClose::test_close_clears_client_reference PASSED [  1%]
tests/test_aio_sandbox.py::TestClose::test_close_is_idempotent PASSED    [  1%]
tests/test_aio_sandbox.py::TestClose::test_close_swallows_exceptions PASSED [  1%]
tests/test_aio_sandbox.py::TestClose::test_close_falls_back_to_client_close PASSED [  1%]
tests/test_aio_sandbox.py::TestClose::test_close_when_no_close_attr_does_not_raise PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_format_container_mount_uses_mount_syntax_for_docker_windows_paths PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_format_container_mount_marks_docker_readonly_mounts PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_format_container_mount_keeps_volume_syntax_for_apple_container PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_redact_container_command_for_log_redacts_env_values PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_redact_container_command_for_log_keeps_inherited_env_names PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_format_container_command_for_log_uses_windows_quoting PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_start_container_logs_redacted_env_values PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_resolve_docker_bind_host_defaults_loopback_for_localhost PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_resolve_docker_bind_host_keeps_dood_compatibility PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_resolve_docker_bind_host_uses_ipv6_loopback_for_ipv6_sandbox_host PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_resolve_docker_bind_host_logs_selected_bind_reason PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_resolve_docker_bind_host_allows_explicit_override PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_start_container_binds_local_docker_port_to_loopback_by_default PASSED [  1%]
